Country,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Afghanistan,3.794,0.401,0.582,0.181,0.106,0.312,0.061,2.151
Albania,4.644,0.996,0.804,0.731,0.381,0.201,0.040,1.490
Algeria,5.872,1.092,1.146,0.618,0.233,0.069,0.146,2.568
Argentina,6.599,1.185,1.440,0.695,0.495,0.109,0.060,2.614
Armenia,4.376,0.901,1.007,0.638,0.198,0.083,0.027,1.521
Australia,7.284,1.484,1.510,0.844,0.602,0.478,0.301,2.065
Austria,7.006,1.487,1.460,0.815,0.568,0.316,0.221,2.139
Azerbaijan,5.234,1.154,1.152,0.541,0.398,0.045,0.181,1.762
Bahrain,6.087,1.488,1.323,0.653,0.537,0.173,0.257,1.656
Bangladesh,4.608,0.587,0.735,0.533,0.478,0.172,0.124,1.979
Belarus,5.569,1.157,1.445,0.638,0.295,0.155,0.156,1.723
Belgium,6.891,1.464,1.462,0.818,0.540,0.232,0.251,2.124
Benin,3.657,0.431,0.435,0.210,0.426,0.208,0.061,1.886
Bhutan,5.011,0.885,1.340,0.496,0.502,0.474,0.173,1.140
Bolivia,5.823,0.834,1.228,0.474,0.559,0.226,0.060,2.443
Bosnia and Herzegovina,5.182,0.982,1.069,0.705,0.204,0.329,0.000,1.892
Botswana,3.766,1.122,1.222,0.342,0.505,0.099,0.099,0.378
Brazil,6.635,1.107,1.431,0.617,0.437,0.162,0.111,2.769
Bulgaria,4.714,1.161,1.434,0.708,0.289,0.113,0.011,0.996
Burkina Faso,4.032,0.350,1.043,0.216,0.324,0.251,0.120,1.727
Burundi,2.905,0.092,0.630,0.152,0.060,0.204,0.084,1.683
Cambodia,4.168,0.602,1.006,0.430,0.633,0.386,0.068,1.043
Cameroon,4.695,0.564,0.946,0.133,0.430,0.236,0.051,2.334
Canada,7.316,1.479,1.481,0.835,0.611,0.436,0.287,2.187
Central African Republic,2.693,0.000,0.000,0.019,0.271,0.281,0.057,2.066
Chad,3.936,0.438,0.954,0.041,0.162,0.216,0.054,2.071
Chile,6.652,1.253,1.284,0.819,0.377,0.327,0.082,2.510
China,5.273,1.081,1.161,0.741,0.473,0.029,0.023,1.765
Colombia,6.357,1.071,1.402,0.595,0.477,0.149,0.047,2.616
