Country,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,HDI Value
Afghanistan,3.543,0.361,0.545,0.266,0.064,0.22,0.041,2.047,0.462
Albania,4.65,0.953,0.823,0.798,0.394,0.176,0.033,1.471,0.789
Algeria,5.459,1.024,1.153,0.697,0.132,0.066,0.132,2.256,0.745
Argentina,6.358,1.117,1.447,0.773,0.512,0.079,0.055,2.376,0.849
Armenia,4.419,0.856,1.017,0.706,0.247,0.085,0.04,1.467,0.786
Australia,7.261,1.399,1.544,0.93,0.602,0.39,0.298,2.099,0.946
Austria,7.13,1.401,1.48,0.907,0.572,0.267,0.224,2.279,0.926
Azerbaijan,5.214,1.074,1.153,0.638,0.393,0.037,0.18,1.739,0.76
Bahrain,6.13,1.396,1.352,0.741,0.556,0.224,0.163,1.699,0.888
Bangladesh,4.521,0.56,0.838,0.612,0.528,0.164,0.137,1.683,0.67
Belarus,5.458,1.088,1.469,0.709,0.279,0.117,0.151,1.646,0.801
Belgium,6.914,1.381,1.483,0.899,0.532,0.193,0.234,2.191,0.942
Benin,4.227,0.401,0.415,0.282,0.405,0.182,0.07,2.472,0.504
Bhutan,5.058,0.831,1.332,0.542,0.5,0.403,0.17,1.279,0.681
Bolivia,5.785,0.787,1.22,0.563,0.559,0.168,0.059,2.429,0.698
Bosnia and Herzegovina,5.232,0.947,1.12,0.769,0.232,0.269,0.002,1.893,0.779
Botswana,3.615,1.06,1.18,0.432,0.506,0.055,0.097,0.284,0.708
Brazil,6.451,1.032,1.448,0.698,0.44,0.124,0.095,2.614,0.76
Bulgaria,4.886,1.102,1.487,0.745,0.32,0.086,0.008,1.137,0.799
Burkina Faso,4.348,0.332,1.065,0.283,0.297,0.201,0.12,2.049,0.438
Burundi,3.195,0.076,0.568,0.226,0.115,0.176,0.113,1.92,0.42
Cambodia,4.434,0.575,1.072,0.508,0.646,0.291,0.065,1.276,0.6
Cameroon,4.905,0.549,0.916,0.215,0.422,0.202,0.044,2.557,0.587
Canada,7.307,1.391,1.506,0.923,0.616,0.347,0.295,2.229,0.935
Central African Republic,2.953,0.017,0,0.045,0.267,0.245,0.043,2.336,0.387
Chad,4.196,0.382,0.876,0.095,0.175,0.198,0.064,2.405,0.394
Chile,6.524,1.181,1.328,0.849,0.388,0.237,0.066,2.475,0.86
China,5.237,1.033,1.143,0.811,0.53,0.039,0.075,1.606,0.788
Colombia,6.247,1.005,1.417,0.69,0.493,0.116,0.04,2.486,0.758
Congo (Brazzaville),4.554,0.721,0.814,0.38,0.44,0.106,0.083,2.009,0.481
Congo (Kinshasa),4.314,0.085,1.163,0.251,0.272,0.218,0.055,2.269,0.593
Costa Rica,7.106,1.051,1.439,0.847,0.59,0.167,0.098,2.914,0.806
Croatia,5.349,1.164,1.132,0.784,0.311,0.162,0.035,1.761,0.878
Cyprus,5.81,1.283,1.182,0.932,0.395,0.221,0.039,1.758,0.907
Czech Republic,6.724,1.285,1.47,0.843,0.497,0.066,0.036,2.527,0.895
